1326294580736017,Impact boulderhal,Bongerdstraat,6,,1326AB,Almere,06-33999258,info@impactboulderhal.nl,https://www.impactboulderhal.nl,16:00,23:00,16:00,23:00,16:00,23:00,16:00,23:00,16:00,23:00,10:00,23:00,10:00,18:00
1434597866805065,Kei Boulderhal,Soesterweg,314,,3812BH,Amersfoort,033-7370362,info@keiboulderhal.nl,http://www.keiboulderhal.nl,17:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,17:00,23:00,10:00,18:00,10:00,23:00
106574276158048,Monk Bouldergym Amsterdam,Aambeeldstraat,26,,1021KB,Amsterdam,020-7370598,amsterdam@monk.nl,https://monk.nl/amsterdam,13:30,23:00,13:30,23:00,13:30,23:00,13:30,23:00,13:30,23:00,10:00,23:00,10:00,23:00
584954405028266,Het Lab Amsterdam,Transformatorweg,32,,1014AK,Amsterdam,020-3346498,info@hetlabamsterdam.nl,http://www.hetlabamsterdam.nl,13:00,22:30,13:00,22:30,13:00,22:30,13:00,22:30,13:00,22:30,10:00,22:30,10:00,22:30
372348346440312,RijnBoulder,Olympus,3,,6832EL,Arnhem,088-1236850,rijnboulder@mountain-network.nl,https://mountain-network.nl/klimcentra/locaties/bouldercentrum-arnhem,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,21:00
795093490625638,Boulderhal Bruut,Spinveld,66,A1,4815HT,Breda,076-7370319,info@boulderhalbruut.nl,https://www.boulderhalbruut.nl,17:00,23:00,17:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,10:00,18:00,10:00,22:00
229953813681973,Bouldercentrum Delfts Bleau,Schieweg,15,,2627AN,Delft,015-7600090,,http://www.delftsbleau.nl,16:00,22:30,16:00,22:30,13:00,22:30,16:00,22:30,16:00,22:30,10:00,18:00,10:00,18:00
1070364213080575,Boulderhal De Campus,Kerketuinenweg,55,,2544CV,Den Haag,070-2051144,info@boulderhaldecampus.nl,https://www.boulderhaldecampus.nl,17:00,23:00,17:00,23:00,13:00,23:00,13:00,23:00,13:00,23:00,10:00,18:00,10:00,23:00
1607556532902291,Bouldermuur Den Haag,Jaap Edenweg,10,,2544NL,Den Haag,070-3599229,uithof@deklimmuur.nl,https://www.facebook.com/bouldermuurdenhaag,13:00,22:30,13:00,22:30,13:00,22:30,13:00,22:30,13:00,22:30,10:00,22:30,10:00,22:30
141835325863948,Monk Bouldergym Eindhoven,Berkenstraat,1,A,5616LV,Eindhoven,040-2950488,eindhoven@monk.nl,https://monk.nl/eindhoven,13:30,23:00,13:30,23:00,13:30,23:00,13:30,23:00,13:30,23:00,10:00,18:00,10:00,23:00
171422169614338,Cube Bouldergym,Hoge Bothofstraat,49,,7511ZA,Enschede,06-10968707,info@cubebouldergym.nl,https://www.cubebouldergym.nl/,18:00,23:00,18:00,23:00,14:00,23:00,18:00,23:00,14:00,23:00,12:00,19:00,12:00,19:00
489738057852685,Gropo Bouldergym,Ulgersmaweg,8,,9731BS,Groningen,050-2808444,info@gropo.nl,http://www.gropo.nl,14:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,14:00,23:00,11:00,19:00,11:00,23:00
703927943046364,Boulderhal Kunststof,Rooseveltstraat,49,E,2321BL,Leiden,071-5763623,info@boulderhalkunststof.nl,http://www.boulderhalkunststof.nl,14:00,23:00,14:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,10:00,22:00,10:00,22:00
1390917561234780,Grip Boulderhal,Kamerlingh Onnesstraat,35,,6533HK,Nijmegen,024-7370460,boulderhal@gripnijmegen.nl,http://www.gripnijmegen.nl,14:00,23:00,17:00,23:00,14:00,23:00,17:00,23:00,14:00,23:00,09:00,19:00,10:00,19:00
1428076020777872,Bolder Neoliet,Keilestraat,9,,3029BP,Rotterdam,010-7171805,rotterdam@neoliet.nl,https://www.neoliet.nl/rotterdam,17:00,23:00,13:00,23:00,13:00,23:00,17:00,23:00,13:00,23:00,10:00,19:00,10:00,19:00
587965061384595,Monk Bouldergym Rotterdam,Ceintuurbaan,183,,3051KC,Rotterdam,010-7371383,rotterdam@monk.nl,https://monk.nl/rotterdam,17:00,23:00,13:30,23:00,13:30,23:00,13:30,23:00,13:30,23:00,10:00,18:00,10:00,23:00
1100561023299101,Boulderhal Block013,Lovense Kanaaldijk,47,,5013BJ,Tilburg,06-29327487,info@block013.nl,http://www.block013.nl,14:00,23:00,17:00,23:00,14:00,23:00,17:00,23:00,14:00,23:00,10:00,18:00,10:00,22:00
364724736889562,Graviton Bouldergym,Geerweg,2,,6135KC,Sittard,046-4526434,info@gravitonbouldergym.nl,http://www.gravitonbouldergym.nl,14:00,23:00,17:00,23:00,12:00,23:00,17:00,23:00,17:00,23:00,10:00,19:00,10:00,19:00
173426196480537,Boulderhal Energiehaven,Elektronweg,10,A,3542AC,Utrecht,030-3075750,info@boulderhalenergiehaven.nl,http://boulderhalenergiehaven.nl,12:00,23:00,12:00,23:00,12:00,23:00,14:00,23:00,12:00,23:00,10:00,22:00,10:00,22:00
467734919966059,Boulderhal Sterk,Koningin Wilhelminalaan,4,,3527LD,Utrecht,030-7370615,info@boulderhalsterk.nl,https://www.boulderhalsterk.nl,12.00,23:00,12.00,23:00,12.00,23:00,12.00,23:00,12.00,23.00,10.00,23.00,10.00,23.00
